Measurenent,Id_sensor,Number_data,Temperature,Humidity,Soil_humidity,Rssi
1,2,1,25.8,82.0,12.27,-86
2,1,1,25.3,86.0,8.674000000000001,-86
3,1,2,25.6,86.0,11.248,-91
4,2,2,25.7,82.0,11.248,-94
5,1,3,26.3,83.0,12.27,-86
6,2,3,24.6,86.0,9.442,-93
7,1,4,27.6,75.0,11.608,-87
8,1,5,27.5,73.0,15.266,-86
9,2,4,25.1,86.0,9.442,-93
10,2,5,24.7,80.0,11.248,-92
11,1,6,27.7,72.0,15.266,-86
12,1,7,26.9,74.0,8.728,-82
13,2,6,24.9,84.0,11.248,-92
14,2,7,24.1,88.0,9.442,-92
15,1,8,24.7,80.0,12.396,-82
16,1,9,23.8,86.0,15.246,-82
17,2,8,23.3,91.0,16.204,-93
18,1,10,23.3,88.0,19.066,-82
19,2,9,22.5,94.0,23.752000000000002,-92
20,1,11,22.9,89.0,11.1,-82
21,2,10,22.3,91.0,9.5,-92
22,1,12,22.6,91.0,20.7,-81
23,2,11,22.1,94.0,23.3,-92
24,2,12,21.9,94.0,30.1,-92
25,1,13,22.5,92.0,31.0,-82
26,2,13,21.9,94.0,45.9,-90
27,1,14,22.2,94.0,40.8,-82
28,1,15,22.4,95.0,70.03,-81
29,2,14,21.9,94.0,68.09,-92
30,1,16,22.2,95.0,59.3,-81
31,2,15,21.9,94.0,55.8,-91
32,2,16,21.8,94.0,53.2,-91
33,1,17,22.4,95.0,53.0,-81
34,2,17,21.8,94.0,53.3,-89
35,1,18,22.5,95.0,40.8,-81
36,1,19,22.4,95.0,41.3,-81
37,2,18,21.8,94.0,40.6,-91
38,1,20,22.2,95.0,39.9,-81
39,2,19,21.6,94.0,38.0,-91
40,1,21,22.1,95.0,39.9,-81
41,2,20,21.5,94.0,33.7,-90
42,1,22,21.8,94.0,35.1,-81
43,2,21,21.3,94.0,30.3,-91
44,2,22,20.9,93.0,32.9,-90
45,1,23,21.5,94.0,29.7,-80
46,1,24,21.8,94.0,28.7,-81
47,2,23,20.8,93.0,27.0,-91
48,1,25,22.0,95.0,26.0,-81
49,2,24,21.3,94.0,24.7,-91
50,1,26,21.9,94.0,23.5,-80
51,2,25,20.7,93.0,20.2,-92
52,1,27,21.8,94.0,21.3,-80
53,2,26,20.8,93.0,17.0,-92
54,2,27,20.8,93.0,16.9,-91
55,1,28,21.7,94.0,15.0,-81
56,2,28,21.0,94.0,15.0,-90
57,1,29,21.3,94.0,12.3,-80
58,2,29,21.2,94.0,11.6,-91
59,1,30,21.6,94.0,11.0,-81
60,2,30,20.7,93.0,11.0,-91
61,1,31,21.6,94.0,9.2,-81
62,2,31,21.2,94.0,9.0,-91
63,1,32,21.9,94.0,8.1,-80
64,1,33,22.3,95.0,8.2,-81
65,2,32,21.3,94.0,7.4,-91
66,2,33,22.6,95.0,7.45,-91
67,1,34,24.3,89.0,6.23,-81
68,1,35,25.1,86.0,6.45,-85
69,2,34,22.9,95.0,2.5,-95
70,1,36,29.3,76.0,1.1,-84
71,2,35,24.7,92.0,20.444,-95
72,1,37,28.8,74.0,15.266,-84
73,2,36,25.2,89.0,20.444,-96
74,1,38,31.1,69.0,22.32,-83
75,2,37,27.3,84.0,18.327999999999996,-97
76,1,39,35.3,54.0,41.576,-83
77,2,38,30.0,78.0,17.432,-96
78,1,40,32.6,62.0,32.43,-90
79,2,39,30.5,74.0,20.482,-93
80,2,40,32.2,70.0,34.042,-96
81,1,41,37.8,49.0,35.498,-89
82,1,42,38.6,47.0,35.498,-89
83,2,41,32.4,68.0,34.042,-93
84,2,42,34.9,62.0,32.43,-94
85,1,43,37.3,44.0,35.498,-92
86,1,44,42.7,31.0,35.498,-89
87,2,43,35.6,56.0,31.616000000000003,-95
88,1,45,45.2,30.0,35.498,-89
89,2,44,36.5,59.0,35.208000000000006,-93
90,2,45,34.5,61.0,32.43,-93
91,1,46,43.9,30.0,35.498,-90
92,2,46,35.9,55.0,32.958000000000006,-92
93,1,47,42.6,30.0,29.93,-85
94,2,47,35.8,55.0,35.208000000000006,-93
95,1,48,43.6,30.0,29.706,-84
96,1,49,42.7,30.0,29.706,-84
97,2,48,36.8,52.0,35.498,-91
98,2,49,35.0,60.0,41.848,-90
99,1,50,41.5,36.0,29.706,-84
100,2,50,31.0,66.0,22.926,-73
101,1,51,38.0,42.0,35.513999999999996,-77
102,2,51,24.9,85.0,12.396,-83
