Measurenent,Id_sensor,Number_data,Temperature,Humidity,Soil_humidity,Rssi
1,2,1,25.8,82.0,11.039400000000006,-86
2,1,1,25.3,86.0,8.906200000000005,-86
3,1,2,25.6,86.0,9.975900000000005,-91
4,2,2,25.7,82.0,17.650800000000007,-94
5,1,3,26.3,83.0,10.763000000000009,-86
6,2,3,24.6,86.0,12.716700000000001,-93
7,1,4,27.6,75.0,12.822299999999998,-87
8,1,5,27.5,73.0,15.286599999999996,-86
9,2,4,25.1,86.0,12.755100000000002,-93
10,2,5,24.7,80.0,12.935700000000002,-92
11,1,6,27.7,72.0,16.651499999999988,-86
12,1,7,26.9,74.0,12.371799999999999,-82
13,2,6,24.9,84.0,12.545500000000002,-92
14,2,7,24.1,88.0,11.860600000000002,-92
15,1,8,24.7,80.0,9.372100000000003,-82
16,1,9,23.8,86.0,10.458300000000003,-82
17,2,8,23.3,91.0,20.248900000000003,-93
18,1,10,23.3,88.0,17.273499999999988,-82
19,2,9,22.5,94.0,22.38948333333334,-92
20,1,11,22.9,89.0,11.1,-82
21,2,10,22.3,91.0,9.5,-92
22,1,12,22.6,91.0,20.7,-81
23,2,11,22.1,94.0,23.3,-92
24,2,12,21.9,94.0,30.1,-92
25,1,13,22.5,92.0,31.0,-82
26,2,13,21.9,94.0,45.9,-90
27,1,14,22.2,94.0,40.8,-82
28,1,15,22.4,95.0,70.03,-81
29,2,14,21.9,94.0,68.09,-92
30,1,16,22.2,95.0,59.3,-81
31,2,15,21.9,94.0,55.8,-91
32,2,16,21.8,94.0,53.2,-91
33,1,17,22.4,95.0,53.0,-81
34,2,17,21.8,94.0,53.3,-89
35,1,18,22.5,95.0,40.8,-81
36,1,19,22.4,95.0,41.3,-81
37,2,18,21.8,94.0,40.6,-91
38,1,20,22.2,95.0,39.9,-81
39,2,19,21.6,94.0,38.0,-91
40,1,21,22.1,95.0,39.9,-81
41,2,20,21.5,94.0,33.7,-90
42,1,22,21.8,94.0,35.1,-81
43,2,21,21.3,94.0,30.3,-91
44,2,22,20.9,93.0,32.9,-90
45,1,23,21.5,94.0,29.7,-80
46,1,24,21.8,94.0,28.7,-81
47,2,23,20.8,93.0,27.0,-91
48,1,25,22.0,95.0,26.0,-81
49,2,24,21.3,94.0,24.7,-91
50,1,26,21.9,94.0,23.5,-80
51,2,25,20.7,93.0,20.2,-92
52,1,27,21.8,94.0,21.3,-80
53,2,26,20.8,93.0,17.0,-92
54,2,27,20.8,93.0,16.9,-91
55,1,28,21.7,94.0,15.0,-81
56,2,28,21.0,94.0,15.0,-90
57,1,29,21.3,94.0,12.3,-80
58,2,29,21.2,94.0,11.6,-91
59,1,30,21.6,94.0,11.0,-81
60,2,30,20.7,93.0,11.0,-91
61,1,31,21.6,94.0,9.2,-81
62,2,31,21.2,94.0,9.0,-91
63,1,32,21.9,94.0,8.1,-80
64,1,33,22.3,95.0,8.2,-81
65,2,32,21.3,94.0,7.4,-91
66,2,33,22.6,95.0,7.45,-91
67,1,34,24.3,89.0,6.23,-81
68,1,35,25.1,86.0,6.45,-85
69,2,34,22.9,95.0,2.5,-95
70,1,36,29.3,76.0,1.1,-84
71,2,35,24.7,92.0,22.178100000000008,-95
72,1,37,28.8,74.0,10.903199999999995,-84
73,2,36,25.2,89.0,15.790600000000001,-96
74,1,38,31.1,69.0,29.99479999999997,-83
75,2,37,27.3,84.0,18.604000000000017,-97
76,1,39,35.3,54.0,43.36940000000004,-83
77,2,38,30.0,78.0,20.996600000000004,-96
78,1,40,32.6,62.0,28.410699999999977,-90
79,2,39,30.5,74.0,22.313599999999994,-93
80,2,40,32.2,70.0,25.84209999999999,-96
81,1,41,37.8,49.0,26.22329999999998,-89
82,1,42,38.6,47.0,27.709499999999977,-89
83,2,41,32.4,68.0,24.31279999999999,-93
84,2,42,34.9,62.0,30.288099999999968,-94
85,1,43,37.3,44.0,33.385099999999966,-92
86,1,44,42.7,31.0,18.441599999999973,-89
87,2,43,35.6,56.0,46.3711,-95
88,1,45,45.2,30.0,18.098399999999973,-89
89,2,44,36.5,59.0,45.372099999999946,-93
90,2,45,34.5,61.0,26.170299999999983,-93
91,1,46,43.9,30.0,17.77759999999997,-90
92,2,46,35.9,55.0,44.508099999999985,-92
93,1,47,42.6,30.0,18.896599999999975,-85
94,2,47,35.8,55.0,42.23239999999998,-93
95,1,48,43.6,30.0,18.522199999999977,-84
96,1,49,42.7,30.0,18.896599999999975,-84
97,2,48,36.8,52.0,42.09909999999997,-91
98,2,49,35.0,60.0,32.93939999999996,-90
99,1,50,41.5,36.0,19.292599999999986,-84
100,2,50,31.0,66.0,20.2787,-73
101,1,51,38.0,42.0,27.144200000000005,-77
102,2,51,24.9,85.0,7.232600000000008,-83
103,1,52,30.3,69.0,16.880699999999997,-75
104,2,52,21.4,94.0,41.687283333333305,-88
105,1,53,26.5,77.0,10.372500000000008,-76
106,1,54,26.6,81.0,10.847200000000008,-76
107,2,53,22.3,95.0,41.45575000000001,-89
108,1,55,26.5,83.0,11.937900000000006,-77
109,2,54,22.9,95.0,18.12236666666666,-78
110,1,56,25.8,81.0,10.54450000000001,-76
111,2,55,22.9,95.0,11.4283,-97
112,2,56,22.5,95.0,17.295408333333338,-91
113,1,57,24.8,84.0,8.867100000000006,-75
114,1,58,24.5,86.0,8.259800000000006,-76
115,2,57,22.9,95.0,18.12236666666666,-78
116,1,59,24.4,87.0,7.300000000000001,-75
117,2,58,22.4,95.0,53.02175833333331,-99
118,1,60,24.1,88.0,6.9143,-75
119,2,59,22.1,95.0,33.98150000000002,-79
120,1,61,24.1,89.0,6.989199999999999,-75
121,2,60,22.6,95.0,20.54056666666668,-81
122,2,61,22.4,95.0,53.02175833333331,-100
123,1,62,24.2,91.0,6.632099999999999,-75
124,1,63,24.1,91.0,6.552099999999999,-75
125,2,62,22.0,95.0,28.774500000000007,-81
126,2,63,22.2,95.0,46.376899999999985,-99
127,1,64,23.9,91.0,6.984099999999999,-75
128,1,65,23.7,92.0,7.631999999999998,-75
129,2,64,21.7,94.0,64.79046666666673,-94
130,1,66,23.7,92.0,7.631999999999998,-75
131,2,65,21.8,94.0,56.89930000000002,-93
132,1,67,23.6,93.0,7.557599999999997,-74
133,2,66,21.8,94.0,43.01699999999999,-91
134,1,68,23.4,93.0,8.171599999999996,-74
135,2,67,21.8,94.0,43.01699999999999,-91
136,2,68,21.3,94.0,36.119333333333316,-89
137,1,69,23.0,94.0,7.9746999999999995,-74
138,1,70,22.9,95.0,9.036333333333332,-74
139,2,69,21.2,94.0,34.5666833333333,-88
140,2,70,21.1,94.0,25.73113333333333,-87
141,1,71,22.8,95.0,14.99689999999999,-74
142,1,72,22.9,95.0,9.036333333333332,-74
143,2,71,21.3,94.0,22.14533333333333,-86
144,2,72,21.3,94.0,22.14533333333333,-86
145,1,73,23.0,95.0,6.981433333333331,-74
146,2,73,21.3,94.0,22.14533333333333,-86
147,1,74,23.0,95.0,6.981433333333331,-74
148,2,74,21.1,94.0,36.313093333333306,-88
149,1,75,22.9,95.0,9.036333333333332,-74
150,2,75,21.4,94.0,25.657466666666654,-86
151,1,76,22.9,95.0,9.036333333333332,-74
152,2,76,21.4,94.0,20.616133333333327,-84
153,1,77,22.9,95.0,9.036333333333332,-74
154,2,77,21.2,94.0,16.765033333333328,-83
155,1,78,22.8,95.0,14.99689999999999,-75
156,2,78,20.8,93.0,20.047081666666678,-82
157,1,79,22.6,95.0,15.466333333333335,-75
158,1,80,22.7,95.0,16.86143333333332,-76
159,2,79,20.9,93.0,19.65598166666667,-82
160,1,81,23.6,94.0,6.562599999999996,-76
161,2,80,21.6,94.0,20.678700000000003,-83
162,2,81,22.8,95.0,6.281233333333335,-90
163,1,82,25.2,89.0,8.916200000000002,-76
164,2,82,24.5,93.0,22.010400000000015,-94
165,1,83,27.7,82.0,14.219100000000005,-78
166,1,84,29.9,75.0,14.144899999999993,-78
167,2,83,27.7,84.0,19.11780000000002,-98
168,2,84,29.0,81.0,20.60610000000002,-94
169,1,85,31.3,74.0,28.513999999999996,-77
170,1,86,31.4,68.0,32.06119999999998,-81
171,2,85,30.1,79.0,16.06839999999999,-79
172,2,86,32.6,68.0,31.805099999999968,-81
173,1,87,35.0,56.0,32.21260000000001,-81
174,2,87,32.4,66.0,31.91389999999996,-82
175,1,88,33.7,58.0,33.8796,-82
176,2,88,31.7,68.0,32.579899999999974,-81
177,1,89,34.9,53.0,32.977800000000016,-79
178,2,89,34.6,60.0,32.35629999999997,-82
179,1,90,38.8,44.0,29.282199999999985,-81
180,2,90,37.7,52.0,38.214699999999986,-79
181,1,91,39.9,42.0,27.236599999999996,-79
182,2,91,43.1,39.0,19.533899999999974,-82
183,1,92,41.8,39.0,20.272399999999987,-81
184,2,92,38.1,49.0,27.2402,-76
185,2,93,44.6,37.0,19.36819999999998,-82
186,1,93,38.0,42.0,27.144200000000005,-77
187,2,94,34.2,54.0,32.60550000000002,-87
188,1,94,30.3,60.0,21.365299999999994,-79
189,2,95,29.9,68.0,19.161099999999994,-79
190,1,95,28.3,71.0,15.826899999999993,-81
191,1,96,27.5,76.0,10.700700000000007,-76
192,2,96,28.2,65.0,16.921199999999995,-91
1,2,1,29.0,72.0,15.438499999999994,-72
2,1,1,29.7,67.0,16.774399999999996,-64
3,2,2,28.2,72.0,15.572099999999995,-72
4,1,2,32.8,61.0,25.796700000000005,-62
5,2,3,30.0,69.0,16.610199999999995,-72
6,1,3,34.1,61.0,26.329300000000003,-62
7,2,4,32.4,59.0,27.595399999999987,-75
8,1,4,36.7,52.0,29.9394,-64
9,2,5,30.8,65.0,20.683899999999994,-71
